	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.37455618955	600.803278689	439.0	2.26272
WT8	5.16844953171	516.428571429	369.0	2.01114
KO2	6.25955018225	616.130434783	452.0	2.27889
KO5	6.20051883141	657.166666667	439.0	2.04049
WT1	5.48294565274	535.753424658	410.0	2.2412
WT2	6.01593771612	650.245283019	445.0	2.30097
WT4	6.06704106208	670.4	470.0	2.15147
KO7	6.08170185639	620.181818182	437.0	2.26242
KO3	4.91429229048	570.918367347	378.0	2.1469
WT6	5.89761951478	496.134328358	400.0	2.16869
KO9	6.13456383879	558.045454545	421.0	2.23862
WT3	6.08199407907	592.5	428.0	2.30807
KO1	5.91456739683	543.338709677	406.0	2.22402
KO4	6.07975987351	659.35	442.0	2.30809
WT5	5.67839553043	559.695652174	383.0	2.17475
KO8	5.94917714753	604.781818182	407.0	2.07166
WT7	6.24124183054	669.246153846	456.0	2.10863
WT9	5.55221408931	533.15625	396.0	2.26294
