	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.39414757984	628.654545455	420.0	2.26442
WT8	5.15391317173	513.195652174	342.0	2.03616
KO2	6.19373409426	543.322033898	399.0	2.26505
KO5	6.19684082111	561.086956522	416.0	2.02023
WT1	5.4997759406	505.016129032	378.0	2.24088
WT2	6.0355681567	595.767857143	417.0	2.29559
WT4	6.10021227114	593.081081081	438.0	2.13745
KO7	6.01587242961	602.204081633	395.0	2.21981
KO3	4.89466059653	441.107142857	336.0	2.1686
WT6	5.86521624022	546.018518519	381.0	2.14551
KO9	6.10769726424	596.25	401.0	2.25844
WT3	6.08542887613	535.388888889	406.0	2.30667
KO1	5.93726220839	542.318181818	397.0	2.27049
KO4	6.02118191548	558.269230769	392.0	2.13076
WT5	5.69517670587	502.944444444	364.0	2.21857
KO8	5.92982990189	511.06	361.0	2.19645
WT7	6.17934724908	596.25	410.0	2.036
WT9	5.57029060156	491.0	370.0	2.2203
