	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.389755212	643.482758621	443.0	2.31505
WT8	5.19556267427	534.358490566	381.0	2.05842
KO2	6.26339733647	606.084507042	457.0	2.25701
KO5	6.12442171281	572.444444444	431.0	2.04146
WT1	5.53207909698	544.405797101	421.0	2.26985
WT2	6.03250839695	576.388888889	447.0	2.24814
WT4	6.11544759175	644.838709677	494.0	2.15163
KO7	6.0276982601	560.291666667	429.0	2.28533
KO3	4.8682538144	528.773584906	373.0	2.24432
WT6	5.86884519658	597.58490566	414.0	1.96566
KO9	6.10063200007	528.797101449	411.0	2.0692
WT3	6.08124686476	561.213333333	437.0	2.19653
KO1	5.89271936303	555.014705882	422.0	2.28549
KO4	6.00044900006	621.904761905	430.0	2.28545
WT5	5.65040347901	521.392857143	383.0	2.19692
KO8	5.98106844187	537.459016393	400.0	2.06361
WT7	6.21245369013	695.018181818	452.0	2.12349
WT9	5.62736316547	534.098591549	416.0	2.21898
