	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.34862075338	357.204081633	268.0	2.02989
WT8	5.11618747253	349.857142857	210.0	1.79865
KO2	6.16335728049	458.405405405	275.0	2.0878
KO5	6.18009810111	487.595744681	298.0	1.80921
OE2	5.65554800015	357.790697674	238.0	2.08638
WT1	5.43297736233	491.107142857	257.0	1.88502
WT2	6.01247356846	418.042553191	281.0	1.99641
WT4	5.95593190723	443.65	274.0	1.91484
KO7	5.99439180311	386.976744186	260.0	1.57111
KO3	4.73845034112	364.972972973	223.0	2.00758
WT6	5.79756985819	376.634146341	251.0	1.44528
KO9	6.02833075443	374.317073171	256.0	2.0112
WT3	5.93998920477	343.02173913	248.0	1.95853
KO1	5.81572665798	374.42	261.0	1.96594
KO4	5.91157794145	411.27027027	258.0	1.83253
WT5	5.59759551122	375.5	233.0	1.91734
KO8	5.83751878764	455.24	241.0	1.97664
OE6	5.742053123	357.15625	232.0	1.80456
OE5	5.81970729414	342.097560976	240.0	1.786
WT7	6.09214151899	400.88372093	264.0	1.88832
OE7	5.63594180196	320.41025641	220.0	1.56844
WT9	5.60716046372	368.238095238	248.0	2.06253
OE1	5.83721257252	338.333333333	237.0	1.85553
OE8	5.9148041116	335.021276596	244.0	1.86921
OE9	5.86694806931	377.0	236.0	1.56457
