	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.32279723544	451.171428571	283.0	1.95902
WT8	5.06913635584	302.157894737	235.0	1.88795
KO2	6.1446190019	499.243902439	301.0	2.13171
KO5	6.08622369052	429.902439024	281.0	1.95758
OE2	5.75044512636	398.269230769	270.0	1.95335
WT1	5.52601554508	469.139534884	286.0	2.09028
WT2	5.93358405464	476.3	306.0	2.10598
WT4	5.9697824275	501.5	302.0	2.05099
KO7	5.95889060753	413.717391304	281.0	2.01821
KO3	4.81805149398	399.081081081	240.0	1.83596
WT6	5.77281307535	395.552631579	260.0	1.84088
KO9	5.98061156043	383.019607843	278.0	1.92186
WT3	5.92480923466	376.446808511	269.0	2.04915
KO1	5.68534697555	435.689655172	251.0	2.04332
KO4	5.93403553684	393.642857143	271.0	1.95432
WT5	5.6008656668	388.487179487	259.0	1.87942
KO8	5.89755970935	422.609756098	271.0	1.89291
OE6	5.67835232586	388.0	241.0	1.80829
OE5	5.84489869003	384.923076923	258.0	1.89644
WT7	6.09763290984	408.553191489	281.0	2.01893
OE7	5.7131030455	353.326086957	250.0	2.02458
WT9	5.58398494425	502.657894737	282.0	1.88888
OE1	5.8449782532	445.551724138	250.0	1.80263
OE8	5.92465178254	373.117647059	250.0	1.93786
OE9	5.82677759433	352.837209302	249.0	1.78489
