	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.3392402807	420.162162162	264.0	2.09917
WT8	5.16662504583	363.916666667	218.0	1.48255
KO2	6.10600412139	390.731707317	255.0	1.99515
KO5	6.06261863087	399.777777778	251.0	1.90996
OE2	5.73414711617	328.837209302	225.0	1.84085
WT1	5.43544242466	370.6	232.0	2.00243
WT2	5.99492347988	357.95	251.0	2.07442
WT4	5.94301559291	385.731707317	250.0	1.9254
KO7	5.78160152467	351.238095238	231.0	1.86192
KO3	4.76924010441	300.447368421	202.0	1.87578
WT6	5.75110988405	377.085714286	227.0	1.91849
OE4	5.70589573377	373.916666667	228.0	1.85895
KO9	5.90828202095	441.636363636	243.0	1.76423
WT3	5.93169755878	365.634146341	240.0	2.05328
KO1	5.79091899816	330.227272727	233.0	1.96787
KO4	5.90567625295	352.25	242.0	1.92264
WT5	5.4646325052	364.125	225.0	1.89385
KO8	5.87199582541	383.037037037	228.0	1.92963
OE6	5.66710210637	289.073170732	212.0	1.65573
OE5	5.83297774867	364.783783784	231.0	1.70976
WT7	6.10645184114	377.486486486	241.0	1.86719
OE7	5.70759035579	339.5	222.0	1.80465
WT9	5.56422374367	330.196078431	237.0	2.04086
OE1	5.87796234328	361.090909091	220.0	1.76432
OE8	5.92968177693	313.0	226.0	1.91576
OE9	5.76882711352	300.133333333	217.0	1.58139
OE3	5.52493484303	321.371428571	212.0	1.87368
