	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.36158131911	635.679245283	422.0	2.11613
WT8	5.15223757937	543.826086957	353.0	2.01406
KO2	6.26343716606	603.846153846	441.0	2.27869
KO5	6.19619134821	573.258064516	423.0	2.27855
WT1	5.49449542791	570.454545455	391.0	2.24807
WT2	6.01762218299	611.566037736	420.0	2.27903
WT4	6.11169124754	605.133333333	446.0	2.12985
KO7	5.98375699522	568.846153846	406.0	2.19685
KO3	4.89280332365	532.518518519	360.0	2.18486
WT6	5.88438551103	569.538461538	393.0	2.16546
KO9	6.11401920155	513.166666667	384.0	2.26124
WT3	6.09239793288	599.85	421.0	2.33735
KO1	5.8851619156	560.308823529	411.0	2.24865
KO4	5.98671461304	541.333333333	402.0	2.29336
WT5	5.69502427466	594.526315789	367.0	2.07109
KO8	5.99030982407	637.5	402.0	2.19873
WT7	6.20926926549	610.571428571	426.0	2.14547
WT9	5.58072702733	526.385964912	377.0	2.16094
