	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.23270135319	384.794117647	245.0	1.94166
WT8	5.10419841203	305.916666667	202.0	1.84217
KO2	6.13587279598	521.607142857	258.0	2.08881
KO5	6.03226955319	392.756756757	248.0	1.86022
OE2	5.69560926612	403.583333333	234.0	1.93119
WT1	5.3851708672	392.0	244.0	1.99837
WT2	5.87639662942	417.763157895	260.0	2.11603
WT4	6.00823486169	431.666666667	259.0	1.9267
KO7	5.88743024138	431.083333333	249.0	1.85128
KO3	4.88492960908	287.552631579	198.0	1.93472
WT6	5.76971371217	455.885714286	245.0	1.74417
OE4	5.72100573951	430.535714286	228.0	1.92006
KO9	5.91668129418	344.026315789	229.0	1.89324
WT3	6.08381132164	357.046511628	251.0	1.89893
KO1	5.78712525996	343.621621622	228.0	1.88731
KO4	5.96941540088	408.341463415	254.0	1.91666
WT5	5.61452874031	335.363636364	214.0	1.56703
KO8	5.83815361976	361.634146341	236.0	1.7567
OE6	5.67233208955	297.285714286	207.0	1.70742
OE5	5.84247997927	310.024390244	225.0	1.84563
WT7	6.03414376656	371.282608696	248.0	1.84313
OE7	5.66599639437	371.322580645	218.0	1.82089
WT9	5.4589072223	394.538461538	238.0	1.86387
OE1	5.84483662701	349.731707317	229.0	1.59027
OE8	5.88579670535	303.069767442	222.0	1.86923
OE9	5.81879856484	296.157894737	213.0	1.61297
OE3	5.5092141678	324.25	213.0	1.83032
