	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.38197458026	536.875	354.0	2.19125
WT8	5.09458829067	445.3125	289.0	1.92617
KO2	6.20865538667	501.773584906	346.0	2.21838
KO5	6.18373528794	509.305084746	356.0	2.05223
WT1	5.4575590373	503.404255319	325.0	2.04892
WT2	5.96563223694	495.0	360.0	2.22456
WT4	6.03714547453	577.196078431	361.0	2.10281
KO7	6.09259681432	562.45	343.0	2.18823
KO3	4.87265907024	388.813953488	276.0	1.9416
WT6	5.76006579541	424.0	313.0	2.05485
KO9	6.08882930456	444.338709677	333.0	2.09833
WT3	6.07785000905	476.015873016	347.0	2.16017
KO1	5.85497476822	515.571428571	319.0	2.1271
KO4	5.92400848106	380.1	300.0	1.97982
WT5	5.64319858674	466.534883721	306.0	2.14524
KO8	5.94891791352	509.333333333	311.0	1.96271
WT7	6.21230723961	489.632653061	339.0	2.0515
OE7	5.68677201162	386.019607843	287.0	2.02487
WT9	5.52058445244	457.714285714	312.0	1.9622
OE9	5.87467757997	417.071428571	292.0	1.97365
