	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.40937996486	697.875	465.0	2.15147
WT8	5.15773224541	535.518518519	385.0	2.05828
KO2	6.24151019645	657.584415584	484.0	2.27961
KO5	6.18496766412	660.137931034	449.0	2.26349
WT1	5.49358441203	579.238095238	427.0	2.27001
WT2	6.02747344531	619.078947368	474.0	2.32943
WT4	6.10733460626	646.0375	491.0	2.15163
KO7	6.03636518212	593.898305085	436.0	2.26362
KO3	4.9070109187	643.272727273	412.0	2.24405
WT6	5.90689191055	570.887096774	425.0	2.09908
KO9	6.10995339534	577.318181818	432.0	2.31675
WT3	6.09133375762	596.0	451.0	2.35187
KO1	5.93826963529	602.181818182	444.0	2.28549
KO4	6.00766524951	599.467741935	438.0	2.32961
WT5	5.69967628804	564.269230769	398.0	2.26252
KO8	6.008118187	606.380952381	429.0	2.24931
WT7	6.23282696206	684.246153846	471.0	2.14563
WT9	5.63954924088	641.903846154	427.0	2.07908
