	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.30350646359	459.456521739	299.0	2.1367
WT8	5.03712845112	342.902439024	234.0	1.91429
KO2	6.1470325076	428.738095238	286.0	2.02812
KO5	6.11672651809	485.282608696	303.0	2.10406
OE2	5.73428185023	406.468085106	267.0	2.06202
WT1	5.37325867741	384.783783784	251.0	1.90657
WT2	5.83260382621	496.161290323	281.0	2.03803
WT4	6.00469771967	521.133333333	308.0	2.02565
KO7	5.92359487465	408.317073171	270.0	1.96736
KO3	4.81272824888	351.2	242.0	2.06639
WT6	5.82586439317	424.609756098	273.0	1.94746
KO9	6.01892699684	435.5	272.0	1.93484
WT3	6.11856149294	437.489795918	299.0	2.20436
KO1	5.84427119981	398.346938776	276.0	1.928
KO4	5.87992502443	496.625	287.0	1.99015
WT5	5.71721404421	356.065217391	259.0	1.89628
KO8	5.91414527431	379.441860465	262.0	1.97614
OE6	5.71688327144	350.363636364	237.0	1.85584
OE5	5.83658912182	357.95	251.0	1.85323
WT7	6.12419600027	416.571428571	279.0	1.82958
OE7	5.71918985442	316.9375	239.0	1.94246
WT9	5.52656570221	397.222222222	264.0	2.05917
OE1	5.89193527602	401.777777778	253.0	1.96222
OE8	5.93640829222	386.323529412	255.0	1.89149
OE9	5.81933028029	342.5	245.0	1.55468
