	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.23578136202	496.236842105	289.0	1.88832
WT8	5.11176279025	334.621621622	219.0	1.84173
KO2	6.12537998837	414.622222222	274.0	1.95932
KO5	6.11192902173	492.0	282.0	1.84808
OE2	5.67908549115	356.772727273	242.0	1.86938
WT1	5.42641306025	398.56097561	255.0	2.04473
WT2	5.86430246138	389.666666667	266.0	1.99231
WT4	5.91083019181	409.976744186	268.0	1.95447
KO7	5.93955836395	403.405405405	253.0	1.76678
KO3	4.74395692667	325.326086957	222.0	1.83442
WT6	5.73456081143	445.575	258.0	1.9817
KO9	6.01471032432	350.666666667	251.0	2.01908
WT3	5.97221332923	460.885714286	267.0	2.23643
KO1	5.8385738135	393.372093023	259.0	1.89703
KO4	5.90095964471	493.107142857	259.0	2.18393
WT5	5.5854234896	375.552631579	240.0	1.82432
KO8	5.82807870294	454.037037037	244.0	1.84458
OE6	5.71320980065	444.045454545	228.0	1.85385
OE5	5.80737209857	313.583333333	228.0	1.77694
WT7	6.19180801235	435.813953488	278.0	1.95934
OE7	5.63656226202	341.0	224.0	1.97528
WT9	5.39512985622	359.923076923	233.0	1.77263
OE1	5.84977212351	335.0	230.0	1.92508
OE8	5.89813213261	357.441176471	237.0	1.93802
OE9	5.77162615198	361.666666667	235.0	1.5442
