	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.36602286483	623.52173913	455.0	2.17407
WT8	5.16184795392	539.55	382.0	2.05842
KO2	6.23797709753	614.758064516	451.0	2.25715
KO5	6.15390610121	579.230769231	438.0	2.01982
WT1	5.4964675146	568.308823529	419.0	2.28486
WT2	6.01975520881	591.0	452.0	2.33765
WT4	6.05816995282	587.447058824	468.0	2.15163
KO7	6.05910603008	611.080645161	438.0	2.33749
KO3	4.85279233989	502.392857143	364.0	2.19882
WT6	5.84440784941	582.701754386	412.0	2.14554
KO9	6.11457640725	591.773584906	416.0	2.27061
WT3	6.07342971379	630.0	443.0	2.31551
KO1	5.93252092452	589.295774648	434.0	2.26048
KO4	6.01260906647	582.0	429.0	2.33751
WT5	5.67910620003	537.596491228	395.0	2.19701
KO8	5.9578945492	571.467741935	410.0	2.06392
WT7	6.22618257981	574.733333333	445.0	2.30145
WT9	5.63048057879	597.666666667	425.0	2.04937
