	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.36645062863	546.590163934	407.0	2.13709
WT8	5.15115815055	459.833333333	348.0	2.03601
KO2	6.29910626039	601.318181818	432.0	2.23374
KO5	6.16486407415	595.3	414.0	1.95781
WT1	5.4686180137	483.563380282	383.0	2.22619
WT2	6.02579727185	552.014705882	419.0	2.30667
WT4	6.07792186572	611.666666667	435.0	2.16171
KO7	6.03144693361	582.058823529	394.0	2.28503
KO3	4.91569196999	548.784313725	358.0	2.19958
WT6	5.86261755807	549.529411765	380.0	2.0332
KO9	6.10401495957	552.444444444	398.0	2.26379
WT3	6.06928988986	549.5625	404.0	2.33735
KO1	5.90974826891	627.0	399.0	2.27033
KO4	6.04146782778	549.014285714	406.0	2.24915
WT5	5.69999607622	622.25	371.0	2.19708
KO8	5.94187543273	576.0	372.0	1.97669
WT7	6.1675821184	568.082191781	415.0	2.22014
WT9	5.58989518641	492.5	380.0	2.15784
