	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.32248537174	499.1	372.0	2.29201
WT8	5.14925203955	422.466666667	317.0	1.95264
KO2	6.17655132277	571.115384615	384.0	2.12383
KO5	6.16608206039	550.117647059	378.0	2.19099
WT1	5.49825816899	526.12	361.0	2.21908
WT2	5.9816740939	531.14084507	398.0	2.33025
WT4	6.07284511071	533.891891892	408.0	2.10781
KO7	6.02719615685	548.725490196	374.0	2.21979
KO3	4.83746056872	478.5	306.0	2.108
WT6	5.8764242648	495.474576271	362.0	2.01343
KO9	6.06538496783	530.318181818	357.0	2.29291
WT3	6.07986684375	523.234375	384.0	2.18201
KO1	5.86713198557	545.153846154	366.0	2.22708
KO4	5.99841220926	524.542372881	378.0	2.02787
WT5	5.64224086783	463.638297872	329.0	2.15284
KO8	5.91947322205	523.438596491	360.0	2.08919
WT7	6.21178070204	628.5	393.0	1.96108
WT9	5.58684295965	603.9375	368.0	2.2046
