	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.23011015514	357.8	250.0	1.97762
WT8	5.11654311982	383.5	220.0	1.82468
KO2	6.12671115921	551.689655172	267.0	1.85552
KO5	6.05214989201	414.794117647	248.0	1.81813
OE2	5.6347416683	319.12	226.0	1.79212
WT1	5.35632276218	385.285714286	219.0	1.8256
WT2	5.88039441248	359.208333333	254.0	1.87404
WT4	5.78349411194	479.294117647	255.0	1.93853
KO7	5.83931094142	378.0	228.0	2.06857
KO3	4.79231665293	317.625	206.0	1.85859
WT6	5.74239728534	395.028571429	233.0	1.74403
OE4	5.77734385778	378.684210526	235.0	1.93202
KO9	6.01429815842	378.731707317	243.0	1.95718
WT3	5.86866397686	353.5	241.0	1.92155
KO1	5.81567808506	432.285714286	245.0	2.06195
KO4	5.86675550894	409.90625	236.0	1.6758
WT5	5.52503677957	317.052631579	214.0	1.82022
KO8	5.91294536212	302.416666667	219.0	1.85092
OE6	5.67270523776	305.885714286	211.0	1.82171
OE5	5.91027619891	365.657894737	238.0	1.66641
WT7	6.14361169529	538.583333333	276.0	2.12408
OE7	5.52649653916	333.193548387	204.0	1.83099
WT9	5.55641154499	364.552631579	229.0	1.82935
OE1	5.83981608179	395.7	224.0	1.917
OE8	5.89489078911	351.228571429	229.0	1.82522
OE9	5.79825324188	357.0	216.0	1.72468
OE3	5.48978969767	330.483870968	207.0	1.87382
