	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.37630844363	548.275862069	390.0	2.09253
WT8	5.16243011541	496.285714286	333.0	1.96964
KO2	6.21156800365	593.181818182	390.0	2.08003
KO5	6.15182514825	579.981132075	383.0	2.14638
WT1	5.47429336124	539.142857143	360.0	2.19706
WT2	5.96328403205	510.06	372.0	2.17986
WT4	6.07647763951	573.08	416.0	2.09519
KO7	6.01865597533	606.625	380.0	2.18233
KO3	4.87053646718	461.162790698	314.0	2.12639
WT6	5.82992630302	458.35	351.0	1.98847
KO9	6.11049793262	594.020408163	378.0	2.26108
WT3	6.07116168177	564.777777778	382.0	2.31523
KO1	5.95694165432	560.949152542	384.0	2.23433
KO4	5.95640538987	510.411764706	356.0	2.19667
WT5	5.68262634564	497.632653061	342.0	2.16002
KO8	5.91355445714	490.725490196	346.0	2.17507
WT7	6.14750625882	671.222222222	385.0	2.23411
WT9	5.6299633647	483.048387097	364.0	2.17505
