	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.30553191626	485.181818182	290.0	2.00632
WT8	5.08167172896	347.848484848	221.0	1.77293
KO2	6.1297245303	439.357142857	286.0	2.0851
KO5	6.08363766371	435.441860465	283.0	1.9998
OE2	5.71435013813	400.133333333	262.0	2.0864
WT1	5.41463754628	356.021276596	259.0	1.79345
WT2	6.01506140996	536.0	305.0	2.19068
WT4	6.05643027055	524.716981132	325.0	2.04719
KO7	5.92553773076	431.025	270.0	1.79448
KO3	4.77807264025	385.45	241.0	1.71456
WT6	5.87159817011	386.195652174	272.0	2.01094
KO9	6.13797140269	486.5	296.0	2.01908
WT3	5.95840307493	471.622222222	291.0	2.24852
KO1	5.83595681143	391.666666667	268.0	2.00194
KO4	5.9575483938	402.477272727	276.0	2.1169
WT5	5.60285868965	391.9	258.0	1.85067
KO8	5.91151294197	364.30952381	258.0	1.91401
OE6	5.74102834693	454.5	251.0	1.78301
OE5	5.84538646578	391.181818182	253.0	1.8244
WT7	6.03504640187	407.88372093	276.0	1.83188
OE7	5.70286885077	384.8	254.0	1.92731
WT9	5.44981589038	390.318181818	259.0	2.08539
OE1	5.87492760438	422.794117647	256.0	1.91699
OE8	5.93024957973	370.0	253.0	1.89407
OE9	5.84811483251	360.277777778	244.0	1.82356
