	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.32959302613	539.692307692	328.0	2.16694
WT8	5.15305942778	437.632653061	287.0	1.96931
KO2	6.23893462568	542.25	351.0	2.27917
KO5	6.17659230099	546.5	341.0	2.0012
WT1	5.40449159078	516.023255814	318.0	2.23546
WT2	5.95265275837	480.472727273	335.0	2.25026
WT4	6.00819249638	495.344827586	344.0	2.00588
KO7	5.97118314781	438.529411765	310.0	2.18189
KO3	4.92358155964	416.738095238	274.0	2.11684
WT6	5.85962651272	483.466666667	314.0	1.89634
KO9	6.05246553717	604.620689655	311.0	2.15711
WT3	6.03545508049	471.06	321.0	2.06529
KO1	5.85774389312	491.348837209	314.0	2.00887
KO4	5.96262199632	502.052631579	311.0	2.06182
WT5	5.62969471585	452.657894737	292.0	1.72973
KO8	5.89597478617	504.684210526	304.0	1.92974
OE6	5.75519445965	400.918367347	283.0	1.92451
WT7	6.20345548946	553.837209302	334.0	2.10911
OE7	5.73190621804	425.738095238	283.0	2.0031
WT9	5.58138079082	449.2	304.0	2.11105
OE9	5.8574476605	406.97826087	286.0	1.97337
