	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.36344014313	572.081967213	426.0	2.13044
WT8	5.16977497685	520.02	360.0	1.99142
KO2	6.25649330991	601.041666667	452.0	2.32341
KO5	6.19122295901	617.761904762	438.0	2.01911
WT1	5.52501307561	513.518518519	410.0	2.27001
WT2	6.01614099211	581.088235294	438.0	2.35187
WT4	6.08605415075	590.166666667	466.0	2.12969
KO7	6.04380239525	617.109090909	422.0	2.32927
KO3	4.85775230053	511.714285714	351.0	2.18396
WT6	5.86939961748	577.263157895	409.0	2.14699
KO9	6.14497431841	534.774647887	413.0	2.06186
WT3	6.0923202146	635.5	434.0	2.17469
KO1	5.89805535502	545.089552239	404.0	2.24865
KO4	6.04024253412	592.084745763	420.0	2.32992
WT5	5.67876602471	498.105263158	377.0	2.21775
KO8	5.95911180204	571.32	385.0	2.15222
WT7	6.19925207311	621.119402985	436.0	2.30145
WT9	5.62197822417	562.304347826	411.0	2.26257
