	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.3065542347	559.23255814	352.0	2.11541
WT8	5.11419614235	459.0	304.0	1.95482
KO2	6.21875122397	518.149253731	375.0	2.25626
KO5	6.17111451603	456.113207547	343.0	2.12443
WT1	5.48025618861	507.12244898	336.0	2.13115
WT2	6.01298655824	520.223880597	375.0	2.27391
WT4	6.02723287678	528.421875	372.0	2.10718
KO7	5.98832620161	503.2	346.0	2.18204
KO3	4.83006661137	458.52	306.0	2.18318
WT6	5.8424428774	430.916666667	331.0	1.9214
KO9	6.04671667582	471.666666667	326.0	2.30269
WT3	5.99713622928	563.565217391	349.0	2.10179
KO1	5.86966348844	473.620689655	340.0	2.06848
KO4	5.98769027572	582.026315789	344.0	2.02861
WT5	5.63579878724	418.0	311.0	2.09506
KO8	5.92888107593	530.236842105	323.0	1.94653
WT7	6.16682327768	536.172413793	366.0	2.01996
OE7	5.72042010858	407.018518519	302.0	2.02501
WT9	5.54480648561	453.0	321.0	2.17551
