	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.35781065951	549.538461538	373.0	2.29292
WT8	5.16532583054	392.758064516	303.0	1.90845
KO2	6.19511803153	561.372881356	377.0	2.18557
KO5	6.16514480061	573.5	368.0	2.1472
WT1	5.39714085628	495.75	328.0	2.1827
WT2	5.99133560903	528.818181818	374.0	2.27253
WT4	6.03526468548	612.509090909	387.0	2.08605
KO7	5.97773044283	505.279069767	342.0	2.14557
KO3	4.8448409959	431.666666667	296.0	2.1309
WT6	5.77662669204	439.571428571	326.0	1.91887
KO9	6.14311556252	463.245901639	352.0	2.19038
WT3	6.04041778485	547.226415094	361.0	2.27066
KO1	5.8958334432	527.0	347.0	2.24566
KO4	5.96700957639	502.875	344.0	2.09426
WT5	5.70656373317	492.046511628	326.0	2.18254
KO8	5.94952198042	494.875	336.0	2.0367
WT7	6.15133925652	660.571428571	369.0	2.20085
WT9	5.59663589586	558.609756098	338.0	2.17093
