	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.37922535602	587.378378378	454.0	2.15969
WT8	5.17604702005	517.048387097	388.0	2.05828
KO2	6.21943141632	675.940298507	474.0	2.27975
KO5	6.19040533876	712.0	463.0	2.27905
WT1	5.49690796037	577.323076923	434.0	2.26294
WT2	6.04770810756	690.678571429	472.0	2.27211
WT4	6.07218181815	714.723684211	498.0	2.15163
KO7	6.06575444765	637.484375	451.0	2.2847
KO3	4.86814810222	499.75	367.0	2.25018
WT6	5.85844579046	599.454545455	420.0	2.16779
KO9	6.09023054002	638.192307692	429.0	2.28547
WT3	6.09140149666	586.083333333	449.0	2.32976
KO1	5.94134741209	577.0	438.0	2.28549
KO4	6.0315049682	625.017241379	440.0	2.3152
WT5	5.68644862786	549.568965517	405.0	2.26268
KO8	5.97758867644	606.971014493	434.0	2.10924
WT7	6.26443156595	641.6	472.0	2.30129
WT9	5.58344690457	579.898305085	422.0	2.19044
