	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.35991251083	485.222222222	313.0	2.0269
WT8	5.16224719747	378.659574468	258.0	1.86636
KO2	6.14580747283	469.638297872	310.0	2.13868
KO5	6.11946225563	486.024390244	306.0	2.08757
WT1	5.41022747524	413.125	274.0	1.74358
WT2	5.96541149091	528.0	319.0	2.093
WT4	6.04426637898	544.5	330.0	2.06222
KO7	5.9330244127	401.288461538	286.0	1.98226
KO3	4.8798991776	420.285714286	249.0	1.71712
WT6	5.83884364616	379.344827586	287.0	1.90731
KO9	6.06137096929	409.634146341	284.0	2.05825
WT3	6.06977002811	550.384615385	315.0	2.06437
KO1	5.81658874831	415.833333333	284.0	1.97306
KO4	5.9974468765	441.52173913	294.0	2.09485
WT5	5.57176088069	344.073170732	257.0	2.0929
KO8	5.96783797046	391.75	268.0	1.98871
OE6	5.73551523703	386.775	258.0	1.85869
OE5	5.87995377922	392.75	269.0	1.84635
WT7	6.13718233269	485.575	298.0	1.91523
OE7	5.73286776656	362.326086957	259.0	1.89538
WT9	5.48792768456	470.027777778	275.0	1.84565
OE1	5.88181872341	461.25	267.0	1.96222
OE9	5.80324863984	353.06122449	260.0	1.87983
