	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.26268196487	411.5	260.0	1.96279
WT8	5.08190020613	327.363636364	214.0	1.73208
KO2	6.11290120476	384.25	258.0	2.02681
KO5	6.09343385386	409.833333333	278.0	1.83765
OE2	5.71520340033	396.923076923	246.0	2.08627
WT1	5.26742434068	400.7	239.0	1.76484
WT2	5.97723714177	390.42	277.0	2.16849
WT4	6.04920082082	526.52	306.0	2.02266
KO7	5.87185781562	461.121212121	259.0	2.08775
KO3	4.83755881926	415.387096774	229.0	2.00769
WT6	5.84968813781	419.717948718	266.0	1.837
KO9	5.97732796856	411.0	255.0	1.78515
WT3	6.07500095853	427.357142857	274.0	2.20439
KO1	5.7854340121	406.052631579	254.0	2.20416
KO4	5.85756896076	420.625	250.0	1.91917
WT5	5.53996679897	351.166666667	238.0	2.02776
KO8	5.82462245078	366.571428571	239.0	1.82668
OE6	5.66834408639	339.75	226.0	1.62408
OE5	5.78401479318	408.375	241.0	1.86807
WT7	6.10565358743	407.418604651	268.0	1.93269
OE7	5.62513509323	353.558823529	225.0	1.85854
WT9	5.49637744409	425.146341463	251.0	1.79752
OE1	5.8145551605	374.277777778	234.0	1.52671
OE8	5.93285659467	334.069767442	243.0	1.93802
OE9	5.79104328392	354.848484848	228.0	1.79761
