	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.3756379439	520.857142857	339.0	2.02742
WT8	5.08859436997	398.956521739	271.0	1.96678
KO2	6.18185122252	485.014925373	348.0	2.1914
KO5	6.17835575883	496.5	324.0	2.12263
WT1	5.49596627425	413.018867925	304.0	2.13844
WT2	5.92083395107	470.872340426	324.0	2.14333
WT4	5.96095700724	576.738095238	335.0	2.06247
KO7	5.95919626091	468.288461538	324.0	1.98202
KO3	4.88202232783	454.733333333	288.0	2.04578
WT6	5.81188594339	490.529411765	321.0	1.90258
KO9	6.11727562533	440.052631579	321.0	2.13254
WT3	6.03880470356	498.684210526	340.0	2.29263
KO1	5.89003820997	423.018867925	314.0	2.0239
KO4	5.99124954014	423.105263158	316.0	2.16629
WT5	5.59429045512	421.553191489	294.0	2.02658
KO8	5.94300648694	550.454545455	308.0	2.01356
OE6	5.75687708158	406.477272727	280.0	1.8775
WT7	6.20690991738	570.826086957	347.0	2.02066
OE7	5.6800632772	386.595744681	277.0	1.91986
WT9	5.57872695123	464.632653061	309.0	2.19363
OE9	5.86010488231	378.06	283.0	1.96083
