	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.42061844527	609.35	413.0	2.2489
WT8	5.16561964308	516.132075472	348.0	2.01442
KO2	6.23038701779	571.875	411.0	2.05892
KO5	6.20315802508	559.489795918	391.0	2.19783
WT1	5.47398964814	499.956521739	384.0	2.26985
WT2	6.01973960527	561.313432836	414.0	2.27129
WT4	6.00753953282	592.015873016	417.0	2.06391
KO7	6.00013550924	580.881355932	399.0	2.29261
KO3	4.91249069678	591.571428571	343.0	2.10297
WT6	5.83537212981	563.157894737	390.0	2.0356
KO9	6.09291188304	566.773584906	391.0	2.23944
WT3	6.05977059321	617.418181818	406.0	2.15941
KO1	5.88867415206	555.872727273	384.0	2.24111
KO4	6.04573385217	511.362068966	382.0	2.24926
WT5	5.65891450071	553.595744681	364.0	2.2184
KO8	5.98587141884	511.238095238	374.0	2.24437
WT7	6.18784673126	613.559322034	406.0	2.05723
WT9	5.62193314407	446.545454545	359.0	2.10802
