	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.38854285335	624.333333333	454.0	2.27031
WT8	5.18072823172	514.016129032	387.0	2.05842
KO2	6.27134329328	601.518987342	473.0	2.32327
KO5	6.24446516629	614.421875	458.0	2.26351
WT1	5.48653216731	564.044776119	425.0	2.2847
WT2	6.03672482554	597.0	460.0	2.33005
WT4	6.13005299387	695.391891892	492.0	2.15211
KO7	6.03760055994	689.518518519	451.0	2.22754
KO3	4.95116263536	546.818181818	392.0	2.17826
WT6	5.86290846657	540.09375	419.0	2.03251
KO9	6.13263625253	581.703125	434.0	2.27315
WT3	6.09037472077	574.375	451.0	2.35187
KO1	5.89499246277	601.0	448.0	2.27063
KO4	6.00982120902	667.52	438.0	2.23437
WT5	5.68136833007	544.226415094	398.0	2.21888
KO8	5.95507672474	591.0	421.0	2.06386
WT7	6.20457372416	666.166666667	469.0	2.08026
WT9	5.6277710144	612.372881356	428.0	2.23496
