	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.21030153074	411.142857143	271.0	1.95241
WT8	5.11437522768	391.5	228.0	1.59961
KO2	6.19603955217	462.076923077	279.0	2.06192
KO5	6.08447158208	377.306122449	268.0	1.88034
OE2	5.71410102777	404.441860465	252.0	2.08664
WT1	5.36442209915	361.204081633	254.0	1.8645
WT2	5.86291215148	464.571428571	283.0	2.18981
WT4	5.98098169889	457.466666667	288.0	2.01289
KO7	5.92589986043	446.025641026	266.0	2.09805
KO3	4.8509387425	358.783783784	225.0	1.82577
WT6	5.72945832315	412.87804878	253.0	1.71733
KO9	6.08789621073	412.1875	278.0	2.02558
WT3	5.94307601738	395.216216216	256.0	1.92922
KO1	5.73396891025	344.222222222	245.0	2.11327
KO4	5.88980010513	374.384615385	250.0	1.56048
WT5	5.60606943509	321.456521739	242.0	1.58116
KO8	5.86355252742	416.774193548	244.0	1.9071
OE6	5.6202174356	347.96875	220.0	1.82903
OE5	5.77685344652	350.176470588	235.0	1.84426
WT7	6.12518240321	448.5	276.0	1.86253
OE7	5.61538906581	357.303030303	222.0	1.81577
WT9	5.53773369767	451.774193548	244.0	1.8741
OE1	5.83649766466	388.085714286	238.0	1.71254
OE8	5.89294193145	306.0	229.0	1.87652
OE9	5.77629873683	368.206896552	227.0	1.80251
