	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.36903930515	648.327868852	445.0	2.11495
WT8	5.15647243295	562.82	371.0	2.05812
KO2	6.24359263951	586.817073171	463.0	2.25715
KO5	6.2098757403	702.788461538	452.0	2.12989
WT1	5.47710342737	539.507042254	414.0	2.28486
WT2	6.02262174989	587.042857143	452.0	2.32943
WT4	6.07085076687	600.209302326	472.0	2.15163
KO7	6.02418418966	631.181818182	428.0	2.1377
KO3	4.91904785735	534.684210526	383.0	2.20748
WT6	5.86638623021	539.466666667	404.0	2.14698
KO9	6.1009308295	666.018867925	432.0	2.28553
WT3	6.10463950561	624.754098361	444.0	2.19653
KO1	5.9219038801	565.553846154	418.0	2.23427
KO4	6.06512764646	616.157894737	433.0	2.28595
WT5	5.70604433362	543.542372881	397.0	2.19708
KO8	5.96870288317	568.982758621	406.0	2.12362
WT7	6.20571016623	589.197368421	448.0	2.23486
WT9	5.60769143829	506.927710843	418.0	2.2349
