	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.37488305967	573.044776119	434.0	2.29229
WT8	5.15823143454	528.0	374.0	2.03582
KO2	6.22956225092	632.016129032	442.0	2.27961
KO5	6.15986636561	634.418181818	423.0	2.10778
WT1	5.48072793634	579.508474576	405.0	2.24104
WT2	6.07385389585	602.808823529	445.0	2.33951
WT4	6.10794487285	643.857142857	466.0	2.16171
KO7	6.01968860763	627.288135593	425.0	2.16112
KO3	4.90650511218	493.016666667	370.0	2.21299
WT6	5.88665280562	562.052631579	401.0	2.1237
KO9	6.13447371907	539.096774194	408.0	2.28278
WT3	6.11475328809	624.103448276	434.0	2.30821
KO1	5.9176982269	533.0	404.0	2.26351
KO4	6.04060700049	581.909090909	415.0	2.2644
WT5	5.66144720227	542.111111111	382.0	2.24081
KO8	5.94624944388	568.803571429	400.0	2.26637
WT7	6.21490770565	650.0	438.0	2.21226
WT9	5.61882933143	566.438596491	403.0	2.24158
