	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.40653256054	670.380952381	453.0	2.28456
WT8	5.15427266704	558.595744681	369.0	2.05814
KO2	6.27355755252	623.333333333	470.0	2.23607
KO5	6.20990406903	579.045454545	442.0	2.21848
WT1	5.4759391977	566.833333333	413.0	2.19421
WT2	6.03399236762	566.703703704	450.0	2.28577
WT4	6.06042621337	599.358974359	458.0	2.15245
KO7	6.03553950489	662.381818182	434.0	2.22732
KO3	4.89107799025	525.25	364.0	2.11826
WT6	5.86631353602	571.982758621	409.0	2.14573
KO9	6.16341637506	577.622641509	412.0	2.13757
WT3	6.08405272904	571.151515152	430.0	2.32976
KO1	5.93225370138	647.666666667	433.0	2.27063
KO4	6.03138164781	592.671641791	439.0	2.19669
WT5	5.71476330935	559.7	392.0	2.19724
KO8	5.97958378806	573.267857143	402.0	2.06882
WT7	6.22752323765	672.8125	451.0	2.12457
WT9	5.61677806542	552.542372881	406.0	2.26294
