	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.38564096634	502.522727273	309.0	1.93273
WT8	5.13956435999	359.071428571	234.0	1.48047
KO2	6.13463984285	490.522727273	297.0	2.17371
KO5	6.07837703528	468.5	290.0	1.95824
OE2	5.70508224929	403.02173913	263.0	2.08678
WT1	5.46717651876	405.216216216	266.0	1.90956
WT2	5.94325433625	425.775510204	292.0	2.08378
WT4	5.96800160052	564.022222222	309.0	2.05114
KO7	5.93208489895	397.076923077	265.0	2.00599
KO3	4.85249659503	367.727272727	246.0	2.03535
WT6	5.75359124619	363.608695652	256.0	1.88054
KO9	6.01713740402	440.90625	267.0	1.98753
WT3	6.0170476947	415.82	287.0	2.1158
KO1	5.82214551471	427.977272727	279.0	2.00289
KO4	5.90394850098	410.775	269.0	2.10286
WT5	5.61053972611	372.571428571	259.0	1.98989
KO8	5.87546228665	416.028571429	263.0	1.89886
OE6	5.69412107174	389.0	237.0	1.80578
OE5	5.81828704108	362.456521739	257.0	1.79211
WT7	6.06815629083	465.5	277.0	1.94453
OE7	5.65412952243	353.571428571	245.0	1.86688
WT9	5.48621806686	423.11627907	268.0	2.03806
OE1	5.87326991303	369.243243243	246.0	1.81032
OE8	5.93723054686	369.578947368	257.0	1.91604
OE9	5.79962228825	372.558823529	244.0	1.83574
