	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.31156492476	449.022222222	293.0	2.17549
WT8	5.1304810313	351.926829268	236.0	1.90807
KO2	6.18437447066	456.518518519	306.0	2.1296
KO5	6.07268408867	441.071428571	285.0	1.92401
OE2	5.7278716787	407.914893617	266.0	1.93148
WT1	5.38535683435	464.121212121	262.0	1.74219
WT2	5.98187036375	473.6875	307.0	2.18163
WT4	6.00057050172	454.93220339	315.0	2.06834
KO7	5.98448716816	440.217391304	285.0	1.86883
KO3	4.75456066016	375.317073171	237.0	2.05039
WT6	5.83494303245	422.5	280.0	1.86212
KO9	6.03819006118	366.333333333	265.0	1.82956
WT3	5.96979590848	451.0	277.0	2.05549
KO1	5.81757613813	418.386363636	272.0	1.9679
KO4	5.94074370744	394.022222222	268.0	2.04875
WT5	5.59337274499	387.076923077	255.0	2.07221
KO8	5.89932173706	396.418604651	267.0	1.89026
OE6	5.72172772346	367.526315789	245.0	1.75419
OE5	5.81782634288	332.217391304	249.0	1.84609
WT7	6.14737946449	516.941176471	289.0	1.94318
OE7	5.6531031098	360.275	239.0	2.01001
WT9	5.44967245608	348.02	251.0	1.95654
OE1	5.88023168147	392.083333333	249.0	1.94737
OE8	5.92634084689	388.303030303	253.0	1.93788
OE9	5.85662223475	318.142857143	247.0	1.90659
