	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.37404054392	570.6	411.0	2.26446
WT8	5.16810216538	462.178571429	341.0	1.99177
KO2	6.23436945456	623.904761905	432.0	2.2358
KO5	6.22257714047	631.944444444	425.0	2.19116
WT1	5.48259556023	550.444444444	396.0	2.20421
WT2	5.98367664054	557.3	411.0	2.27826
WT4	6.07676072012	617.181818182	434.0	2.16143
KO7	6.05007257914	540.472727273	395.0	2.2629
KO3	4.89387480323	544.568181818	354.0	2.18488
WT6	5.86560539569	519.352941176	377.0	1.95482
KO9	6.10116115912	561.132075472	393.0	2.2244
WT3	6.09353434499	559.135135135	420.0	2.32927
KO1	5.92888574595	564.640625	406.0	2.27033
KO4	5.99095601624	553.87755102	388.0	2.28594
WT5	5.68020637208	515.137931034	375.0	2.2409
KO8	5.99748599162	605.411764706	395.0	2.13011
WT7	6.24246452063	602.181818182	426.0	2.12411
WT9	5.6361324559	535.0	398.0	2.20457
