	shannon	chao1	observed_otus	PD_whole_tree
KO6	6.28434992516	472.682926829	310.0	2.23313
WT8	5.04950674379	380.59375	244.0	1.88557
KO2	6.18619662915	508.942307692	335.0	1.98823
KO5	6.16875563116	528.41025641	320.0	1.93289
WT1	5.45086003056	443.222222222	295.0	2.20413
WT2	5.89413756172	421.053571429	314.0	2.21883
WT4	6.03081488252	596.88372093	337.0	2.00467
KO7	6.03899684559	496.942307692	323.0	1.91216
KO3	4.81444702076	418.717948718	265.0	2.09467
WT6	5.76296443075	434.133333333	291.0	1.79338
KO9	6.05477416615	464.571428571	303.0	1.88125
WT3	5.99801373085	479.47826087	311.0	2.23406
KO1	5.84697716559	394.813953488	282.0	1.90836
KO4	5.90501347327	455.097560976	298.0	2.06635
WT5	5.56093413652	454.428571429	280.0	2.13131
KO8	5.90542827068	384.019607843	285.0	1.91269
OE6	5.73646792493	415.41025641	270.0	1.92421
OE5	5.86636708395	381.326086957	278.0	1.91162
WT7	6.16038379899	515.923076923	314.0	1.92456
OE7	5.73312900392	401.692307692	267.0	2.00987
WT9	5.59876627537	429.255319149	297.0	1.85912
OE9	5.83842003583	389.11627907	274.0	1.94599
