#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	OE4	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	OE3
OTU_874	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_517	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0
OTU_261	1	0	2	1	3	1	0	1	0	1	1	0	2	1	1	0	0	0	0	0	0	4	0	0	0	4	0
OTU_756	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_272	0	0	0	0	0	0	2	16	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	3	0	0
OTU_296	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	3	1	0	1	0	0	0	0
OTU_828	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_421	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU_379	0	0	1	0	0	1	0	0	0	0	3	0	0	2	0	0	0	1	0	0	1	0	4	0	0	0	0
OTU_506	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0
OTU_605	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_914	1	0	1	2	3	1	0	5	0	3	0	0	0	2	0	1	1	1	0	3	3	0	0	3	0	0	0
OTU_437	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	2	0
OTU_456	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_748	1	0	2	0	0	1	1	1	0	0	1	4	1	0	2	0	3	0	2	0	1	0	1	0	0	0	0
OTU_684	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_464	0	0	0	1	3	1	0	1	0	1	0	0	1	0	1	1	0	1	0	3	0	0	0	0	0	0	0
OTU_681	0	0	0	1	0	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	2	1	0	3	0	0
OTU_548	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_369	0	0	2	1	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_299	1	0	2	2	0	0	4	1	1	0	4	4	2	0	1	1	1	0	2	0	2	0	0	0	0	0	0
OTU_527	0	0	0	0	0	1	0	1	0	1	1	4	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
OTU_442	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0
OTU_448	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0
OTU_255	1	1	1	0	0	0	0	1	1	0	1	0	0	2	1	1	1	1	0	0	3	4	0	0	0	0	0
OTU_797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_574	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
OTU_550	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	2	0
OTU_793	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	4	0	0	0	0	0
OTU_911	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU_726	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_535	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_766	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_271	0	0	0	2	3	1	1	2	0	1	10	4	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0
OTU_446	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
OTU_455	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_376	0	0	0	1	6	1	0	0	2	0	1	0	1	0	1	1	0	0	0	0	1	0	1	3	0	0	0
OTU_492	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0
OTU_969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_625	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_365	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
OTU_832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
OTU_692	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0
OTU_653	0	2	1	1	3	0	1	0	1	1	1	0	1	4	0	1	1	1	0	0	1	0	1	0	0	0	0
OTU_854	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_424	1	0	0	1	0	0	0	1	0	0	0	0	2	0	1	1	0	0	2	0	1	2	0	0	3	0	4
OTU_525	0	1	1	0	3	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0
OTU_391	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
OTU_250	0	2	1	2	0	1	1	2	1	1	2	0	2	1	3	3	3	3	0	0	1	2	1	0	3	0	0
OTU_526	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_321	2	1	1	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0
OTU_396	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_484	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_601	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	2	0
OTU_660	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_474	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
OTU_831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_567	0	1	1	0	0	1	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
OTU_931	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_467	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
OTU_826	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_558	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
OTU_640	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
OTU_906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_420	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
OTU_243	2	4	2	0	0	3	0	2	0	3	1	0	0	1	1	1	2	1	2	0	1	0	2	0	0	4	0
OTU_666	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_394	1	0	3	1	0	0	1	4	2	0	1	0	1	3	1	2	1	1	0	0	1	0	0	3	0	0	0
OTU_678	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0
OTU_408	0	0	0	5	0	0	0	0	1	0	5	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0
OTU_435	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_528	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
OTU_779	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0
OTU_697	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_429	0	0	1	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0
OTU_523	0	0	0	0	0	5	2	1	1	1	0	0	0	1	1	1	0	0	0	5	1	2	0	3	0	4	0
OTU_905	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0
OTU_864	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU_585	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_587	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_819	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_458	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	0	0	0
OTU_809	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_942	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
OTU_452	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0
OTU_417	0	1	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_815	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_297	1	0	1	1	0	2	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	2	0	0	0	0	0
OTU_409	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0
OTU_632	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_453	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_637	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_933	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_813	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_559	0	2	1	0	0	0	0	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0
OTU_817	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
OTU_930	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_841	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_604	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_924	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_360	0	0	0	1	0	3	1	0	1	0	1	4	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
OTU_346	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0
OTU_964	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_886	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_427	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	2	0	0	0	0	0
OTU_685	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_830	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_509	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_393	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_607	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
