"Node Name"	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"
"OTU_52"	112	4.95945159863626	326	0.0967826428065438	0.947554697554698
"OTU_12"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_81"	83	0.946880940237754	70	0.0729617123201676	0.979429914781076
"OTU_39"	111	3.14677196660267	262	0.0964000567612369	0.957084357084357
"OTU_2"	113	9.91963115140149	380	0.0972634772917162	0.939949431099874
"OTU_3"	113	4.23898288406497	333	0.0976479653524203	0.947376738305942
"OTU_1"	104	1.52527831101304	130	0.0911574788341715	0.975728155339806
"OTU_5"	113	4.23898288406497	333	0.0976479653524203	0.947376738305942
"OTU_262"	108	10.8730732758776	304	0.0933036172487879	0.947386638975424
"OTU_67"	94	1.22631041535316	101	0.0823858788588406	0.976893159460078
"OTU_49"	113	10.4982449207941	408	0.0970399332101086	0.935524652338812
"OTU_111"	109	2.65921746939696	223	0.0949047475235956	0.962113489636425
"OTU_23"	112	13.2660070630141	423	0.0959773086031565	0.931949806949807
"OTU_62"	100	3.3707504253875	196	0.0868760487266952	0.96040404040404
"OTU_8"	115	12.9776593507125	507	0.0980921630587565	0.922654462242563
"OTU_58"	111	3.04101488722768	255	0.096453885899055	0.958230958230958
"OTU_43"	115	15.1161583517115	509	0.0980712075595119	0.922349351639969
"OTU_16"	91	0.868474790373815	73	0.0801618009947223	0.982173382173382
"OTU_20"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_30"	108	2.35914250940239	199	0.0941868224540191	0.965559016960886
"OTU_9"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_37"	105	2.40279540001639	188	0.0915714954600073	0.965567765567766
"OTU_94"	113	4.23898288406497	333	0.0976479653524203	0.947376738305942
"OTU_783"	39	0.0701811645338983	6	0.0344849576653659	0.991902834008097
"OTU_10"	101	1.47551774635678	113	0.0886261246515695	0.977623762376238
"OTU_38"	112	3.8199852398945	302	0.0969846158340616	0.951415701415701
"OTU_32"	98	0.977895447070111	84	0.0861861417684218	0.982326951399116
"OTU_14"	92	0.921001717956818	77	0.0807771270305966	0.981605351170569
"OTU_53"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_22"	113	4.23898288406497	333	0.0976479653524203	0.947376738305942
"OTU_69"	114	10.8506392832214	431	0.0977756595465041	0.933084924701133
"OTU_185"	88	0.899476946644327	67	0.0774947898189126	0.982497387669801
"OTU_61"	111	3.04101488722768	255	0.096453885899055	0.958230958230958
"OTU_85"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_13"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_4"	85	0.283265243112822	25	0.0750898219854048	0.992997198879552
"OTU_138"	110	3.28763035859407	260	0.0955008532282421	0.956630525437865
"OTU_7"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
"OTU_18"	112	5.5550103871775	357	0.09653504795063	0.942567567567568
"OTU_513"	112	3.39888384315419	283	0.0971357830976324	0.95447232947233
"OTU_59"	112	3.8199852398945	302	0.0969846158340616	0.951415701415701
"OTU_54"	112	3.39888384315419	283	0.0971357830976324	0.95447232947233
"OTU_72"	114	6.254891840445	408	0.0979644688646727	0.936655798789008
