OUT	C.M1	C.M2	C.M3	GC.M1	GC.M2	GC.M3	Taxonomy
OTU_1	1015	1226	1548	1118	697	1300	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter_oxydans
OTU_2	978	1106	1304	726	625	572	k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__Blastococcus;s__
OTU_3	812	873	883	419	555	546	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__;s__
OTU_4	77	82	89	846	454	418	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_XPB1014_group;s__
OTU_5	40	67	112	611	646	299	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidales_S24-7_group;g__;s__
OTU_6	675	759	799	395	383	430	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
OTU_7	319	400	331	194	205	237	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__unidentified_Nitrospiraceae;s__Nitrospira_japonica
OTU_8	365	323	474	243	247	236	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__unidentified_Xanthomonadales;g__Steroidobacter;s__
OTU_9	549	390	492	671	200	434	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_10	243	330	336	173	266	221	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__0319-6A21;g__;s__
OTU_11	33	73	68	460	568	428	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-002;s__
OTU_12	119	236	14	392	235	289	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__Escherichia_coli
OTU_13	54	6	25	185	150	144	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales
OTU_14	427	556	661	522	326	568	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_4;f__RB41;g__;s__
OTU_15	2	107	44	212	182	172	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__
OTU_16	30	231	21	147	228	153	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus
OTU_17	13	53	24	234	371	161	k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__
OTU_18	215	294	254	209	213	200	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__GR-WP33-30;f__;g__;s__
OTU_19	165	216	226	113	130	128	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales
OTU_20	252	279	331	126	133	144	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
OTU_21	293	353	416	229	322	306	k__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup_7;f__;g__;s__
OTU_22	203	386	239	113	227	126	k__Archaea;p__Thaumarchaeota
OTU_23	409	408	647	408	479	567	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__JG34-KF-161;g__;s__
OTU_24	105	188	130	36	86	39	k__Archaea;p__Thaumarchaeota;c__.SCG.;o__;f__;g__;s__
OTU_25	260	100	97	411	525	259	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcaceae_UCG-005;s__
OTU_26	427	611	497	272	271	324	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__;g__;s__
OTU_27	280	222	303	236	270	344	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_jaspsi
OTU_28	524	586	563	345	206	305	k__Bacteria;p__Acidobacteria;c__unidentified_Acidobacteria;o__Subgroup_6;f__;g__;s__
OTU_29	11	29	40	110	205	596	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_gasseri
OTU_30	205	76	13	728	306	304	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_31	14	23	104	388	147	168	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_AC2044_group;s__
