KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
OTU_52	6.3706	5.5377	5.492	6.0942	2.9386	5.5047	5.6034	5.3971	6.5136	5.5653	4.9012	6.0418	6.2969	5.9084	5.9533	6.144	5.8546	4.0911	5.1251	5.937	3.9865	5.5271	4.7938	6.0093	5.5834
OTU_12	10.279	9.1099	9.7707	9.9114	9.5203	9.7867	9.5389	9.8083	10.084	9.5632	9.4651	9.9508	9.8219	10.072	10.019	10.302	10.081	9.3518	9.466	10.181	9.4492	9.7577	9.2792	8.7326	9.4328
OTU_81	6.9948	7.6069	6.7647	9.4063	7.7879	7.149	5.8615	7.4516	8.4697	7.4497	9.8648	7.7215	6.8758	7.6481	7.4434	6.8905	8.3157	8.0095	8.1756	7.7274	8.5014	7.2057	7.4714	6.6926	7.7613
OTU_39	6.4833	6.4738	6.7445	6.1169	7.1396	6.2534	6.6121	6.4337	7.1599	7.0935	6.004	6.521	6.2969	6.3657	6.2979	6.3887	8.1065	6.3437	7.2084	6.6283	6.4936	5.978	6.8905	6.8227	6.7044
OTU_2	10.987	10.653	11.409	10.637	11.095	10.555	9.6051	10.649	11.041	11.381	9.9357	10.648	10.334	11.76	10.982	11.037	12.134	10.615	10.628	10.728	10.938	10.46	10.24	10.17	10.504
OTU_3	10.369	11.886	10.809	11.58	11.032	10.863	10.349	11.074	11.253	10.652	10.997	11.282	11.021	11.066	11.777	11.255	11.153	11.127	11.088	10.469	11.47	11.03	10.782	10.375	11.215
OTU_1	10.98	12.822	11.192	11.302	9.7387	12.947	12.308	11.904	11.932	13.644	12.038	10.975	11.711	11.447	11.737	12.81	11.507	9.9749	9.5662	11.758	9.9814	12.345	9.4653	9.2312	9.9399
OTU_5	10.013	8.8693	9.1966	9.5698	9.1657	9.5911	9.1245	9.4056	9.9456	8.4359	9.0787	9.7962	9.7738	9.1683	9.7636	9.5348	9.7842	8.9609	8.6716	9.7914	9.1927	9.4748	8.9609	8.7491	8.7735
OTU_262	6.5012	6.2041	6.1763	5.9994	6.7504	6.6077	6.7882	5.5511	7.9956	5.7318	5.3474	6.9192	6.4555	6.3297	7.8087	7.2825	8.1281	6.9541	6.8328	7.7402	6.4936	6.321	6.8905	6.5497	6.9973
OTU_67	6.3706	6.6143	4.6599	4.6989	5.1015	3.6534	4.7223	4.9571	5.1601	6.6365	5.7373	4.4651	5.1394	5.0698	4.7315	5.1642	5.8888	4.4848	5.3416	4.9603	5.6584	4.9577	4.0911	5.4887	5.0817
OTU_49	10.803	11.821	10.786	11.152	11.281	10.622	10.003	10.729	11.338	11.222	10.157	11.532	10.694	11.438	11.106	10.84	11.831	11.567	11.354	10.949	11.677	11.011	11.023	10.632	11.276
OTU_111	9.9769	11.166	9.9975	10.368	10.493	9.6821	9.4727	10.377	10.73	11.395	9.3501	10.713	9.7005	10.422	10.233	9.5806	11.019	10.728	10.56	9.591	10.984	10.287	9.9672	9.8877	10.372
OTU_23	8.8771	7.3895	8.6713	8.6341	8.1344	8.3111	8.6417	7.7771	8.7746	7.8409	7.8695	8.9675	8.335	8.5379	9.0092	9.4786	8.9865	8.8144	8.6311	9.135	9.3542	7.8592	8.7077	8.7326	8.2582
OTU_62	5.3685	3.335	4.8234	4.8148	4.3923	4.4748	4.8065	4.5331	5.745	3.3604	4.6127	5.6341	5.4718	4.8833	5.5612	5.1642	6.246	3.5478	5.5298	5.2009	5.6584	4.558	5.7675	3.9666	5.8414
OTU_8	8.1906	7.309	7.8652	8.0841	8.2013	7.6146	7.5447	8.0163	8.6765	7.7193	7.5323	7.7544	8.4047	7.8399	8.4062	8.9592	8.6304	8.3061	8.0885	8.5752	8.1706	7.7247	7.9167	7.9645	8.344
OTU_58	6.1381	5.6289	7.6091	6.2871	5.1015	7.0046	6.9075	7.1798	7.0985	7.031	6.004	6.1934	6.6319	6.5958	6.4995	5.9026	6.8766	6.3437	6.1043	7.1899	5.7933	5.9343	6.7542	5.4887	6.418
OTU_43	6.8622	5.1015	5.7168	5.9994	4.3923	6.1395	6.6354	5.776	6.1799	6.1401	5.8318	6.5462	5.9155	5.6981	6.7833	7.0883	6.4196	6.4357	6.422	6.39	6.0303	5.2703	5.7675	4.9197	6.9433
OTU_16	6.4833	4.4733	7.4678	8.371	4.7901	6.9828	6.8291	7.4646	5.718	6.8971	10.315	6.345	7.1553	6.7402	7.1458	6.9679	5.3653	6.0262	5.3416	7.3316	6.1356	5.0424	5.0481	5.1353	5.5834
OTU_20	8.4711	7.9802	8.2858	8.3805	8.0643	8.2483	7.8724	8.1348	8.4778	8.1948	8.0473	9.4142	8.1031	8.6298	8.9415	8.106	8.6049	8.0681	7.7901	8.9049	8.441	8.2639	7.9792	7.3396	8.018
OTU_30	6.0915	6.7826	5.9112	5.898	4.7901	6.636	5.7805	6.2658	5.7715	6.7496	6.1578	6.345	6.3382	6.5016	5.9533	5.8491	5.5475	5.2643	4.5606	6.5435	3.9865	6.7568	4.0911	4.3584	4.8664
OTU_9	8.8388	7.8346	7.9205	8.7146	7.3309	8.3962	7.6396	8.3668	8.6302	7.7738	7.7414	8.4094	8.5698	8.201	8.6727	8.9905	8.4533	7.783	7.4136	8.2399	7.7406	8.2282	7.3347	7.2955	7.5607
OTU_37	7.8905	7.4902	7.1199	7.5527	7.2699	7.149	8.5531	7.5884	10.026	5.8232	8.732	7.6935	7.5736	7.2452	7.987	7.4714	8.3771	6.7542	6.8328	7.4294	6.963	6.877	7.3347	5.4887	5.955
OTU_94	6.2053	5.3361	6.0825	6.2669	5.1015	6.2164	5.7383	6.2952	6.9442	6.1401	5.5275	6.1934	5.9691	5.4519	6.1258	6.497	5.9222	5.6185	4.8703	6.1043	6.2338	5.4671	4.7938	5.3228	4.6132
OTU_176	3.6086	2.0109	4.3734	4.018	4.7901	3.8593	3.5983	3.9298	4.3827	3.5146	3.5644	3.627	2.9726	3.1932	3.3001	4.0224	4.2502	4.0911	0.0	3.6205	3.9865	3.3783	2.6662	3.9666	2.5097
OTU_783	4.1536	3.7138	3.1022	3.9179	5.1015	3.1247	4.6328	3.3914	3.798	3.8977	3.7693	5.9311	4.5748	4.669	4.3692	7.2825	4.4465	3.5478	6.2181	4.4407	4.6866	4.4381	4.0911	4.3584	5.0817
OTU_10	8.0018	4.2617	7.7479	6.5437	5.9307	6.5789	7.6047	7.0821	8.7247	4.7893	7.1477	6.9946	8.2182	6.0031	6.7573	7.1337	7.0068	6.1399	5.3416	9.1446	6.1356	7.1108	5.4522	5.1353	5.269
OTU_38	4.9124	4.6578	5.5862	5.4378	5.1015	5.7313	4.6328	5.6902	6.0562	5.377	4.7154	6.316	5.1394	3.9314	5.3686	5.2493	5.2118	4.7938	4.5606	5.3416	5.7933	4.6688	4.4848	4.3584	4.3059
OTU_727	2.1242	5.8722	3.337	3.1044	0.0	2.2813	2.8776	2.5228	1.9925	4.9054	4.3824	2.5524	2.4767	4.2728	3.4373	2.9138	3.8943	2.6662	2.7333	2.2529	0.0	4.558	4.0911	2.5553	0.0
OTU_32	7.2602	8.0479	7.5402	6.0237	6.3399	8.3457	7.3619	7.164	6.0125	8.6043	6.5678	6.3306	6.5983	7.6771	7.1051	7.8977	8.0397	6.8905	5.5298	7.4136	5.3435	8.3074	6.3437	4.3584	6.7679
OTU_14	6.5708	5.5377	6.0164	5.5083	5.1015	5.442	4.4353	6.407	5.1601	9.9904	6.3615	6.9854	5.9691	6.2157	4.6771	5.0738	6.3721	4.4848	5.1251	6.422	5.156	5.7947	4.0911	3.4271	6.2502
OTU_53	8.0574	7.2812	7.8078	8.3375	7.9129	7.7884	7.5929	7.3292	8.3074	7.6293	7.4894	8.9534	7.3087	7.6185	8.7895	8.8271	9.3537	8.0391	7.0328	8.7431	8.0136	8.21	7.7112	8.073	7.8224
OTU_22	8.1168	7.7355	8.6926	8.7909	7.4457	8.1828	7.6624	8.8549	8.3519	9.137	7.7656	9.212	7.8555	8.211	8.4875	8.4495	8.4816	7.8176	7.4606	8.7046	8.1706	8.0141	7.2861	7.1544	7.5243
OTU_410	2.1242	2.0109	2.0125	6.5604	0.0	2.2813	2.8776	3.7717	2.7987	2.1623	3.3256	2.9046	1.7151	2.3429	1.5688	1.6684	1.9161	0.0	0.0	4.3098	3.4464	0.0	0.0	3.4271	0.0
OTU_69	5.517	4.2617	6.2063	6.641	3.8413	5.1598	4.9616	5.3419	5.9443	5.7	4.8113	5.3768	4.9392	5.5802	5.3686	4.9773	5.8546	3.5478	5.1251	6.1043	4.6866	4.9577	3.5478	4.3584	4.3059
OTU_185	7.5374	9.4089	7.9824	8.9671	8.7846	8.0733	8.9127	9.0091	9.4391	8.2617	10.457	8.1704	8.4047	8.8685	9.9925	8.6506	8.8759	9.1494	8.9605	8.3523	9.4182	8.8678	8.7077	8.904	9.3313
OTU_61	6.0433	5.4404	5.6746	5.8445	3.8413	5.5647	4.5374	4.8021	5.745	4.7275	4.5021	5.1971	6.0207	5.8586	5.9303	6.6613	5.9548	5.6185	5.1251	5.7974	4.9403	5.4044	5.4522	4.3584	5.269
OTU_583	3.4697	4.6578	3.7159	2.6846	3.8413	5.5647	4.7223	3.9298	2.5766	4.4501	3.3256	3.053	3.6341	3.9314	3.7848	4.7626	2.3676	4.7938	3.6205	3.6205	0.0	4.9577	0.0	3.4271	4.6132
OTU_85	7.0323	6.5689	6.703	7.4489	5.7638	7.2439	6.7029	6.407	7.0985	6.734	6.3295	6.9668	6.759	6.8204	7.2705	7.574	7.0972	5.6185	6.422	6.5723	7.0192	6.4813	6.824	6.2128	6.8288
OTU_13	9.0364	8.5223	8.6221	9.0042	8.8693	8.859	9.3377	8.5301	9.3164	8.2671	8.1968	8.8482	8.3452	8.3435	8.953	9.6527	9.0177	8.9137	8.6104	8.8412	8.9687	8.0246	8.9609	8.2453	8.758
OTU_4	9.4391	11.883	10.178	8.945	8.7177	10.744	8.8791	9.6209	8.6694	11.945	9.645	9.1577	9.1184	10.605	9.6657	10.519	10.359	9.7425	8.6515	9.8036	8.7204	11.381	8.7261	7.907	9.4328
OTU_138	5.4071	4.9682	5.0385	5.924	5.3576	5.0797	4.9616	4.9571	6.16	4.7275	6.4235	5.6103	6.1188	4.8833	6.0635	6.3887	6.6363	5.4522	5.1251	6.0642	5.7933	4.558	5.2643	4.3584	3.915
OTU_7	9.7348	8.8315	9.2114	9.1873	8.8276	9.055	8.9316	8.7997	9.7042	8.5827	8.6565	9.4227	9.4457	9.3322	9.3723	9.6211	9.378	8.7442	8.6515	9.383	8.9105	8.9303	8.4454	8.6119	8.6609
OTU_18	8.5203	7.8724	8.1382	8.4038	8.6233	8.0419	8.1474	8.3874	8.3343	7.789	8.9477	9.3185	8.5258	8.9057	9.0764	9.192	9.2752	8.9916	8.6716	8.7304	8.6331	8.0857	8.354	8.3352	8.1431
OTU_314	2.7223	2.8198	1.332	1.6652	0.0	1.5511	1.3714	0.0	1.5783	1.7301	2.6815	2.5524	2.9726	3.9314	2.7865	3.2802	2.3676	0.0	0.0	2.2529	3.4464	1.5259	0.0	0.0	0.0
OTU_84	3.1438	5.2236	3.5388	5.8445	2.9386	4.3438	4.5374	4.4309	4.9903	5.2064	5.5829	4.8367	4.0859	4.1121	4.4362	4.6418	4.6985	0.0	4.5606	5.1251	3.9865	4.558	2.6662	3.9666	3.3771
OTU_513	5.9418	4.2617	6.1763	5.8715	5.1015	5.8325	5.8216	5.2845	5.3825	6.0164	4.9012	5.6574	5.6131	5.6404	5.731	5.4058	6.1077	5.0481	5.1251	5.937	6.1356	4.3072	5.6185	4.3584	5.0817
