	shannon	chao1	observed_otus	PD_whole_tree
KO6	5.93771354455	257.411764706	225.0	1.87052
WT8	4.62052992888	234.032258065	175.0	1.90847
KO2	5.7556997095	254.317073171	214.0	1.95869
KO5	5.79477120286	257.333333333	213.0	1.84189
OE2	5.34865282679	262.219512195	205.0	2.10855
WT1	5.01054912659	254.0	195.0	2.0918
WT2	5.65215585277	296.0	227.0	2.20696
WT4	5.57503092889	290.181818182	217.0	1.96025
KO7	5.65890723487	236.0	202.0	2.03002
KO3	4.49872588776	223.941176471	177.0	1.79385
WT6	5.39284249966	219.166666667	190.0	1.79316
KO9	5.66317156573	274.171428571	211.0	1.92114
WT3	5.66615224177	251.0	213.0	2.09145
KO1	5.52013133667	305.6	218.0	2.06542
KO4	5.59248802319	270.447368421	214.0	1.98517
WT5	5.36397561683	276.037037037	206.0	1.9392
KO8	5.49993192946	256.107142857	195.0	1.80688
OE6	5.38025914666	259.088235294	196.0	1.85041
OE5	5.49024063631	270.0	205.0	1.86822
WT7	5.78860148451	249.2	205.0	1.882
OE7	5.33777881934	239.026315789	194.0	2.01233
WT9	5.07122773641	224.675675676	186.0	2.08774
OE1	5.53336216353	261.416666667	200.0	1.96206
OE8	5.56646620124	251.363636364	203.0	1.93802
OE9	5.40114709295	255.441176471	198.0	1.97365
