#OTU ID	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	OE4	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	OE3
OTU_38	3	2	5	4	5	5	3	6	6	3	3	1	8	4	1	4	3	3	3	3	4	6	3	4	4	3	5
OTU_727	0	5	1	1	0	0	1	1	0	2	2	3	1	1	2	1	1	1	1	1	0	0	2	3	1	0	0
OTU_32	17	22	21	7	11	33	21	16	6	28	11	9	8	12	20	13	21	21	15	6	18	5	33	13	4	15	5
OTU_14	11	4	7	5	5	4	3	10	3	73	9	4	13	8	7	2	3	6	3	5	9	4	6	3	2	10	6
OTU_53	30	13	25	34	34	22	25	18	29	14	21	26	51	19	19	42	40	52	34	18	46	30	31	35	53	31	41
OTU_22	31	17	46	46	25	29	26	52	30	40	25	20	61	28	29	34	30	28	29	25	45	34	27	26	28	25	17
OTU_851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_410	0	0	0	10	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0	0
OTU_69	5	1	8	10	2	4	4	4	6	4	3	10	4	4	5	4	3	5	1	5	7	3	3	2	4	3	3
OTU_185	21	55	28	52	62	27	61	58	63	22	163	50	30	41	46	96	35	37	74	71	35	80	49	70	95	88	64
OTU_61	7	3	6	6	2	5	3	3	5	2	3	6	4	8	6	6	9	5	6	5	6	3	4	7	4	5	4
OTU_583	1	2	1	1	2	5	3	2	0	2	1	3	1	1	1	1	2	0	3	2	1	0	3	0	2	3	3
OTU_85	15	8	12	18	8	15	13	10	12	8	9	15	13	13	11	14	17	11	6	12	10	15	9	19	15	15	8
OTU_356	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_13	59	30	44	53	66	47	83	42	58	22	34	65	47	40	32	47	70	41	63	55	49	58	27	84	60	59	75
OTU_4	78	308	130	51	60	173	60	89	37	284	93	156	59	68	154	77	128	104	112	57	96	49	280	71	48	95	57
OTU_138	5	2	4	6	6	3	4	3	6	2	10	9	5	8	3	6	7	8	6	5	7	6	2	6	4	2	1
OTU_50	5	5	10	8	7	3	8	5	6	4	4	3	7	5	5	5	4	7	6	4	5	9	6	7	6	14	11
OTU_7	95	37	66	61	64	53	62	50	76	28	47	66	71	85	64	63	69	53	56	57	72	56	51	58	78	56	48
OTU_18	41	19	32	35	56	26	36	38	29	16	57	51	66	45	47	51	51	49	66	58	45	46	28	55	64	39	54
OTU_314	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0
OTU_221	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_84	1	3	1	6	1	2	3	2	3	3	5	1	3	2	2	2	2	2	0	3	4	2	2	1	3	1	1
OTU_513	7	1	8	6	5	6	7	4	4	5	3	8	5	6	5	5	4	5	4	5	6	8	2	8	4	5	6
