	sequences per sample	iteration	KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	OE4	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9	OE3
alpha_rarefaction_100_0.txt	100	0	5.11740416063	4.21968722515	5.31940147004	5.02256472608	4.62440191117	4.37794823124	4.85343698146	4.73371233698	4.64051196235	4.41785720769	4.77866278162	4.85517762616	5.1413915788	5.08379425664	4.84673171209	4.99386049652	4.4153651901	4.97000986008	4.64333250492	4.93843025496	5.04715015189	4.93221252616	4.57953751532	4.81786533728	4.63005509244	4.67956695314	4.60288662549
alpha_rarefaction_100_1.txt	100	1	5.29234178637	3.728052194	5.10521135115	5.27675484497	4.65265498111	4.29265339161	5.01317866597	4.96762875114	5.14429651935	4.05851630374	4.72607732116	4.87222274812	5.21463849732	5.0243143121	4.99062306445	5.01378632049	4.38257189371	4.68168298426	4.86823475487	5.11244340202	4.98156607138	4.80072919178	4.86821790735	5.03491765988	4.83004450034	4.99676543708	4.888088277
alpha_rarefaction_100_2.txt	100	2	5.50820731525	4.39607979949	5.18028108649	4.92856724639	5.15659472066	4.52926249999	5.03814368975	5.00498047528	5.10291406512	3.83907957062	5.03983215273	4.67824269102	5.10856724639	5.06256472608	5.0290869317	5.04723610017	4.92007822533	4.92472215979	4.7135296558	4.8676978519	5.58372350509	5.19537883653	4.97627282125	5.30901840601	4.97278766579	4.79517762616	4.9925293503
alpha_rarefaction_100_3.txt	100	3	5.20233385022	4.59117754953	5.15965978553	5.12821790735	4.68063978387	4.72162884521	4.57009937959	5.20662844565	4.96217372591	4.45273080793	4.8549467503	4.87670692842	4.88581900567	4.71663580672	4.66798868228	4.82237658707	4.78794179912	4.68194129975	4.82356338078	4.95802546159	5.1315306956	4.55639128442	4.35601615655	4.65462485089	4.66314313215	5.13717328477	4.51728512238
alpha_rarefaction_100_4.txt	100	4	5.52595169036	3.98250621742	4.93192334657	4.8543665354	4.59484135848	4.08376319935	5.0512740309	4.78723286821	5.17057477775	4.3820429154	5.17043550051	4.35808421751	4.88779946755	5.04272485039	5.04823475487	5.05999227704	4.70008539296	4.9553651901	4.84218902313	4.66730685173	4.73005509244	4.75727147595	4.92889936776	5.13475753557	4.9711122558	4.83491765988	4.82007987612
alpha_rarefaction_100_5.txt	100	5	5.31227103481	4.40309500349	5.2233156574	5.14781631508	4.97621736692	4.38510451659	5.06943684581	4.83452665971	5.30621000585	3.90844700953	4.80847927717	4.93702680689	4.88662844565	4.91491765988	5.05250191068	4.92266634173	4.43628848862	4.84337581684	4.65297199777	4.55802240727	5.28421269644	4.89676543708	5.01756428494	5.25296308733	4.8563638448	4.98191541042	4.53173050243
alpha_rarefaction_100_6.txt	100	6	5.00746697604	4.07187485494	4.86823475487	5.01592855748	4.79019742401	4.4306795945	5.04988272524	4.39624480655	5.32230641059	3.97086275874	5.21375888087	4.77661727754	5.3010494404	4.84706037384	4.94856724639	4.94856724639	4.89384270378	4.7129612785	4.50782690718	5.06269906156	5.31375888087	4.79522930432	4.90113020898	4.96044837843	4.98207553473	4.7872794121	4.47320775638
alpha_rarefaction_100_7.txt	100	7	5.32081856454	4.33046213005	4.90518210269	5.09748798354	4.83212455694	4.25653113674	5.08372515588	4.7554050424	5.03576678237	3.75926075625	4.80292465722	5.01569768161	5.21643294556	5.09866113082	4.60507866646	4.74788541584	4.61869022124	4.98298316588	4.71134313167	5.07628646768	5.14931780756	4.59372781184	4.53434787904	5.28007822533	5.24330506529	4.90677279815	4.93147218695
alpha_rarefaction_100_8.txt	100	8	5.14093040215	4.23013891536	5.1525293503	4.97299052695	4.81722661373	4.32131657431	5.0100855864	5.36472215979	4.94556069018	4.27918283707	5.01640715672	4.66049831592	5.31798437554	5.05893474354	4.60572798212	4.9347849752	4.48866036231	4.81060786772	4.88052575554	5.2353651901	4.898427023	4.60972260093	4.53243832675	5.04562979094	4.94821790735	4.83351280827	4.4064665125
alpha_rarefaction_100_9.txt	100	9	5.40356338078	3.97370753984	4.87469902691	5.09957383724	4.74314494098	4.3081593987	4.81461996813	4.70655934488	5.03173355676	4.03759837842	4.82395603175	4.98704853624	5.07287868934	5.12065844023	4.61113969543	4.93132570907	4.72290918237	4.37375872283	5.17882125513	5.00901840601	5.27310956521	4.63160144716	4.82682825248	4.90889973791	5.05602815219	4.71157343245	5.05843025496
