KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
KO6	0.0	0.166438817575	0.090355680789	0.0900386618997	0.200678939371	0.0982878681755	0.101427701752	0.0997937648646	0.0974785141306	0.126512542126	0.140350050894	0.085919807226	0.0960796480317	0.105600845104	0.0797509988024	0.0988818526044	0.093322611785	0.178851446843	0.188923414701	0.103165996755	0.171339057003	0.136121747009	0.215355429144	0.236189765433	0.177839519958
WT8	0.166438817575	0.0	0.168815442826	0.168149370022	0.222681272659	0.155706023834	0.16871004446	0.167092741613	0.178500079582	0.150795193897	0.150817269467	0.154669456863	0.150940036681	0.157887370357	0.168096119425	0.166437486547	0.166261504727	0.21174448131	0.216761773082	0.168053735099	0.21044622539	0.137910431884	0.227085604466	0.234412730683	0.192806996315
KO2	0.090355680789	0.168815442826	0.0	0.0972164486311	0.195488675648	0.103530062044	0.106073757025	0.0977852926024	0.102210169864	0.128780283538	0.148697761355	0.0997953799343	0.103266775432	0.100821921484	0.0888657446917	0.114970130895	0.100390899385	0.17944562715	0.188761007243	0.113052739478	0.184889280654	0.13465576298	0.218833708358	0.22735693251	0.184014662851
KO5	0.0900386618997	0.168149370022	0.0972164486311	0.0	0.201472079623	0.109846339157	0.116024456298	0.0944960650368	0.091796242658	0.130159721044	0.133260287174	0.0823772636638	0.108137277139	0.104195866201	0.0788162858496	0.0995230672656	0.0952759998995	0.180288797745	0.180806850223	0.10224307518	0.170576022398	0.132682646758	0.218266902797	0.22807983772	0.181491924021
OE2	0.200678939371	0.222681272659	0.195488675648	0.201472079623	0.0	0.203783869416	0.200725210306	0.201509176549	0.198411679953	0.215511554799	0.215277176609	0.200546490968	0.199856662089	0.200036803985	0.19837531858	0.194452272611	0.209559527903	0.189820074015	0.174027640703	0.199954619499	0.180526265347	0.203262883728	0.205440479737	0.207555932156	0.190475580662
WT1	0.0982878681755	0.155706023834	0.103530062044	0.109846339157	0.203783869416	0.0	0.11307471641	0.0976296341372	0.112506086825	0.127800752569	0.145151134862	0.100633887569	0.108865721351	0.114372395488	0.103908910493	0.108110198893	0.110891255315	0.180918861948	0.200121206785	0.106779356599	0.179283664506	0.12230496618	0.220153608604	0.225138302629	0.184468595733
WT2	0.101427701752	0.16871004446	0.106073757025	0.116024456298	0.200725210306	0.11307471641	0.0	0.108107109435	0.111840068495	0.144500180864	0.142268413957	0.106175574459	0.115037557672	0.119924758795	0.107655562913	0.123123738865	0.118042948779	0.173587541023	0.187954194393	0.120497117643	0.177597631395	0.136842075472	0.210005091286	0.212923500271	0.180538881985
WT4	0.0997937648646	0.167092741613	0.0977852926024	0.0944960650368	0.201509176549	0.0976296341372	0.108107109435	0.0	0.103506563533	0.128262217775	0.134861769942	0.0956632442728	0.109871153331	0.105948971562	0.0980722729834	0.117225647656	0.111333511146	0.190455689924	0.189467580154	0.109395135281	0.182631858371	0.126567194675	0.219092021268	0.223071159145	0.186915682031
KO7	0.0974785141306	0.178500079582	0.102210169864	0.091796242658	0.198411679953	0.112506086825	0.111840068495	0.103506563533	0.0	0.140305056564	0.14252882607	0.0933482923718	0.11560488731	0.12024897884	0.0874495069882	0.109241320385	0.0954176308452	0.185492205677	0.186078356334	0.107566770409	0.177932891183	0.149557157924	0.219055271026	0.228796458943	0.190980182802
KO3	0.126512542126	0.150795193897	0.128780283538	0.130159721044	0.215511554799	0.127800752569	0.144500180864	0.128262217775	0.140305056564	0.0	0.154841979395	0.12642989829	0.130657008377	0.121895974073	0.128191278251	0.139561374435	0.129221256145	0.19999672486	0.205940331287	0.132237366312	0.19492529859	0.144646084854	0.238921302359	0.236518379499	0.197367267966
