KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
KO6	0.0	0.0112816321044	0.00545029702638	0.00298407346817	0.0167998067397	0.00646955256917	0.00445298612532	0.00455052623474	0.00537532552582	0.00964571503789	0.00688296028295	0.00419538725097	0.00378030617547	0.00671564569909	0.00329023546078	0.00538578166673	0.00508834372103	0.0106621823619	0.017043399485	0.00486581583961	0.0136672859903	0.0092706492698	0.0172467645846	0.0154741889204	0.0108376386274
WT8	0.0112816321044	0.0	0.0114896969597	0.0115832829111	0.0226259250767	0.0100302363457	0.0121826295838	0.0120872758169	0.0147504477699	0.00757280569115	0.00953350209185	0.0111687270497	0.0116298697796	0.00952433849169	0.0127705586646	0.0114542590814	0.0124907845137	0.0167423393053	0.0233368928868	0.0107987173895	0.0201362698695	0.00732355761852	0.0237560060741	0.021163495666	0.0155682649271
KO2	0.00545029702638	0.0114896969597	0.0	0.00523865089604	0.0173882442884	0.00687238644744	0.00424674303117	0.00582651141588	0.00841142230026	0.00796468972461	0.008187543062	0.0063542315815	0.00509287043465	0.00495577639732	0.00564465218509	0.00708301130348	0.00646085957938	0.0115124705643	0.0184922872339	0.00456553725604	0.0153925538972	0.00802439553671	0.0181777537363	0.0167789822161	0.010526852115
KO5	0.00298407346817	0.0115832829111	0.00523865089604	0.0	0.0165543524567	0.00594047948097	0.00477465076691	0.00351187127086	0.0058578864189	0.00893155114501	0.0060534014556	0.00390547281278	0.00481296355666	0.00617653851983	0.00361682493581	0.00506671586849	0.00498200583269	0.0106510488062	0.0166802286033	0.00497710099232	0.0142677649565	0.00913205252978	0.0169707375358	0.0151110797793	0.0105330816439
OE2	0.0167998067397	0.0226259250767	0.0173882442884	0.0165543524567	0.0	0.0189999442987	0.0152553445905	0.0177815173139	0.0141406088427	0.0219134363967	0.0195782106959	0.0172668140971	0.0154319347665	0.0176727841199	0.0149841125372	0.0158973770556	0.0136807398467	0.00975838528123	0.00591934533921	0.0168243797031	0.0061208392828	0.0212193525475	0.00737408300687	0.00675578667322	0.0120202720294
WT1	0.00646955256917	0.0100302363457	0.00687238644744	0.00594047948097	0.0189999442987	0.0	0.00721803262032	0.00542735274028	0.00885311049565	0.00740523686405	0.00549256212121	0.00529964064924	0.00693904849627	0.00501346821452	0.00765157721758	0.00703304930414	0.00881927149669	0.0135913811784	0.0203471994202	0.00682540742049	0.0174204727273	0.00709320959693	0.0207593798335	0.0191611686684	0.0126597797772
WT2	0.00445298612532	0.0121826295838	0.00424674303117	0.00477465076691	0.0152553445905	0.00721803262032	0.0	0.00553750470246	0.00713298864135	0.00992220561252	0.00844727124183	0.00532821552137	0.00352334141279	0.00670715642192	0.0055024775079	0.00682478346016	0.00550823056634	0.0102125743432	0.016735931554	0.00470811993349	0.0132170177288	0.00987103600965	0.0163487760167	0.014718816426	0.0100004241628
WT4	0.00455052623474	0.0120872758169	0.00582651141588	0.00351187127086	0.0177815173139	0.00542735274028	0.00553750470246	0.0	0.00695153344348	0.00905247235397	0.00677086840162	0.0048698320361	0.00501453313022	0.00655608151761	0.00565769539255	0.00683667017135	0.00650688433237	0.0119579346835	0.0177152809076	0.00570489498853	0.0151669648579	0.0092919374809	0.018115440718	0.0162978991298	0.0117311194204
KO7	0.00537532552582	0.0147504477699	0.00841142230026	0.0058578864189	0.0141406088427	0.00885311049565	0.00713298864135	0.00695153344348	0.0	0.0126766238049	0.00991852665942	0.0064038194253	0.00653320031213	0.00941298690635	0.00445307424038	0.00596176480806	0.0075603897874	0.0112659227831	0.015078594049	0.00800501137784	0.0119426336943	0.0128607126752	0.0146383470169	0.0135797246107	0.0126473013847
KO3	0.00964571503789	0.00757280569115	0.00796468972461	0.00893155114501	0.0219134363967	0.00740523686405	0.00992220561252	0.00905247235397	0.0126766238049	0.0	0.00850756807922	0.00899661438035	0.0106948354244	0.00701852706092	0.0104559614583	0.0107616156316	0.0109973029851	0.0164270534318	0.0229990504483	0.00907473198366	0.0194489304791	0.0043748033422	0.0233831455573	0.02144561202	0.0154226381874
