KO6	WT8	KO2	KO5	OE2	WT1	WT2	WT4	KO7	KO3	WT6	KO9	WT3	KO1	KO4	WT5	KO8	OE6	OE5	WT7	OE7	WT9	OE1	OE8	OE9
k__Archaea;p__Crenarchaeota	0.00225173475484	0.000547395310647	0.00475148483901	0.00228692775759	0.0013783597519	0.00131734035915	0.00574420126518	0.0047040376323	0.000716402357615	0.00115129151292	0.000834471248672	0.0022393705553	0.00292427145306	0.00196621031168	0.00150713376649	0.000868751670676	0.00168323180507	0.00126262626263	0.000873108265425	0.0037055874446	0.0010593220339	0.00208483105679	0.000657462195924	0.00107257776189	0.000488042947779
k__Bacteria;Other	0.000183815082027	0.0	0.000250078149422	0.000122513987014	0.0	0.000277334812452	7.271140842e-05	0.000130667712008	0.00016281871764	0.000236162361624	0.000531027158246	0.000121047057043	0.000302510839972	0.000145645208273	0.000234443030344	0.000267308206362	4.00769477397e-05	0.000252525252525	0.0	0.000217975732035	0.0	0.000503235082674	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.00119479803318	0.000182465103549	0.000750234448265	0.00106178788745	0.000344589937974	0.000693337031131	0.00094524830946	0.000718672416046	0.000814093588199	0.0010036900369	0.000910332271279	0.000393402935391	0.00151255419986	0.000582580833091	0.000870788398419	0.000400962309543	0.000480923372876	0.000757575757576	0.00058207217695	0.000799244350796	0.0	0.000431344356578	0.000657462195924	0.000715051841258	0.000732064421669
k__Bacteria;p__Actinobacteria	0.307660493543	0.14496852477	0.314348233823	0.2518887573	0.326326671261	0.19711571795	0.246709808769	0.229583169999	0.259174834739	0.168915129151	0.196480048551	0.259676199122	0.238277704951	0.296023885814	0.268269810436	0.267107725207	0.349711445976	0.289141414141	0.312863795111	0.276974496839	0.295338983051	0.185693745507	0.327087442472	0.345727565248	0.274280136652
k__Bacteria;p__Armatimonadetes	0.000367630164055	0.000638627862421	0.000312597686777	0.000163351982685	0.000689179875948	0.000554669624905	0.00029084563368	0.000326669280021	0.000130254974112	0.000177121771218	7.58610226066e-05	0.000332879406869	0.000605021679944	0.000364113020682	0.000468886060687	0.000200481154771	0.000320615581917	0.000505050505051	0.000291036088475	0.000508610041415	0.000635593220339	0.00107836089145	0.000328731097962	0.0	0.000732064421669
k__Bacteria;p__Bacteroidetes	0.0567988603465	0.152084663808	0.0786495779931	0.0414505656062	0.0358373535493	0.0958885114054	0.0519159456119	0.0604338168039	0.0272232895894	0.156191881919	0.0612957062661	0.0471175669542	0.050317636382	0.0867317215264	0.0462857525621	0.0677626303128	0.0646841936518	0.0621212121212	0.034924330617	0.0650294267238	0.0290254237288	0.145650611071	0.0394477317554	0.0314622810154	0.059785261103
k__Bacteria;p__Chlamydiae	0.000229768852534	9.12325517745e-05	0.000187558612066	0.000122513987014	0.0	0.000277334812452	0.00029084563368	0.000261335424017	9.76912305839e-05	2.9520295203e-05	7.58610226066e-05	0.000181570585565	0.000100836946657	0.0	0.000100475584433	0.000133654103181	0.000200384738698	0.0	0.0	0.0	0.0	0.000143781452193	0.0	0.0	0.00024402147389
k__Bacteria;p__Cyanobacteria	0.0828546482239	0.217954566189	0.0963426070647	0.0949483399355	0.0441075120606	0.283574845733	0.232167527085	0.158238599242	0.128073203295	0.326140221402	0.176756182673	0.0750491753669	0.148028637693	0.0997669676668	0.116250251189	0.220261962042	0.0840814363578	0.0474747474747	0.0389988358556	0.133619123738	0.0432203389831	0.198993529835	0.043392504931	0.0439756882374	0.0510004880429
k__Bacteria;p__Fibrobacteres	0.00110289049216	0.000729860414196	0.000437636761488	0.000530893943725	0.000344589937974	0.000485335921792	0.00029084563368	0.000392003136025	0.00032563743528	0.000206642066421	0.000834471248672	0.000877591163565	0.000806695573258	0.00167491989514	0.000401902337732	0.000668270515905	0.000641231163835	0.000505050505051	0.000291036088475	0.000653927196106	0.000423728813559	0.00100647016535	0.000328731097962	0.0	0.00024402147389
k__Bacteria;p__Firmicutes	0.0146592527917	0.00264574400146	0.0234448265083	0.0161718462858	0.00482425913163	0.00908271510781	0.0255944157638	0.0227361818895	0.00869451952196	0.00977121771218	0.00864815657715	0.00980481162052	0.0155288897852	0.0232304107195	0.016477995847	0.00795241913927	0.00841615902533	0.00858585858586	0.00844004656577	0.0103901765603	0.00677966101695	0.00510424155284	0.00986193293886	0.00715051841258	0.0070766227428
k__Bacteria;p__GN02	0.00156242819723	0.00437916248517	0.00150046889653	0.0018377098052	0.0013783597519	0.00117867295292	0.00167236239366	0.00202534953613	0.00293073691752	0.00245018450185	0.000606888180853	0.00220910879104	0.00151255419986	0.00429653364404	0.00157411748945	0.00133654103181	0.00140269317089	0.000505050505051	0.000291036088475	0.00297900167115	0.0010593220339	0.00136592379583	0.000986193293886	0.000715051841258	0.000732064421669
k__Bacteria;p__Gemmatimonadetes	0.00303294885345	0.000638627862421	0.00200062519537	0.00318536366235	0.00206753962784	0.0031893503432	0.00167236239366	0.00267868809617	0.00289817317399	0.00141697416974	0.00144135942953	0.002088061734	0.00231924977312	0.00182056510341	0.0025453814723	0.00200481154771	0.00256492465534	0.00151515151515	0.000873108265425	0.00217975732035	0.00190677966102	0.00158159597412	0.00295857988166	0.00107257776189	0.00268423621279
k__Bacteria;p__Nitrospirae	0.00124075180369	0.000456162758872	0.0016880275086	0.00114346387879	0.00103376981392	0.000970671843583	0.00116338253472	0.00222135110414	0.000781529844671	0.000354243542435	0.000758610226066	0.000786805870782	0.00151255419986	0.000873871249636	0.000602853506598	0.00106923282545	0.00128246232767	0.000252525252525	0.000873108265425	0.00108987866018	0.000635593220339	0.000359453630482	0.000986193293886	0.000357525920629	0.000732064421669
k__Bacteria;p__OD1	9.19075410137e-05	0.0	0.000187558612066	0.000122513987014	0.000344589937974	0.000346668515565	0.00058169126736	0.0	0.000195382461168	0.000324723247232	7.58610226066e-05	0.000181570585565	0.000201673893315	0.000218467812409	0.000133967445911	0.000200481154771	4.00769477397e-05	0.0	0.0	7.26585773451e-05	0.0	0.000143781452193	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.00565231377235	0.00291944165678	0.00562675836199	0.0045330175195	0.00310130944176	0.00485335921792	0.00603504689886	0.00516137462433	0.00332150183985	0.00439852398524	0.00477924442421	0.00511423816008	0.00715942321267	0.00502475968541	0.00519123852904	0.00227211975408	0.00452869509458	0.00378787878788	0.00494761350407	0.00574002761026	0.00423728813559	0.00654205607477	0.0042735042735	0.00178762960315	0.00366032210835
